station_id,hw_group,start_date,end_date,duration_days,mean_anomaly,max_anomaly,Latitude,Longitude,Province,CSDNAME
8100300,1298,2016-10-06,2016-10-08,3,3.3108736942070274,4.651851851851852,46.71,-67.72,New Brunswick,Perth
8100300,1308,2016-11-13,2016-11-21,8,4.650089031339031,7.033333333333333,46.71,-67.72,New Brunswick,Perth
8100300,1312,2016-11-30,2016-12-02,3,2.9333333333333336,3.4,46.71,-67.72,New Brunswick,Perth
8100300,1320,2017-04-05,2017-04-10,6,4.299333333333333,8.856000000000002,46.71,-67.72,New Brunswick,Perth
8100300,1336,2017-06-11,2017-06-13,3,5.08,6.532,46.71,-67.72,New Brunswick,Perth
8100300,1338,2017-06-18,2017-06-20,3,4.390722222222222,7.404166666666665,46.71,-67.72,New Brunswick,Perth
8100300,1354,2017-09-14,2017-09-21,8,3.8886078042328043,5.582142857142857,46.71,-67.72,New Brunswick,Perth
8100300,1356,2017-09-23,2017-09-27,5,7.830997150997152,9.884615384615385,46.71,-67.72,New Brunswick,Perth
8100300,1366,2017-10-23,2017-10-27,5,8.412248677248678,11.653571428571428,46.71,-67.72,New Brunswick,Perth
8100300,1368,2017-10-29,2017-10-31,3,6.925,10.028571428571428,46.71,-67.72,New Brunswick,Perth
8100300,1386,2017-12-05,2017-12-10,6,4.211039886039886,5.611111111111111,46.71,-67.72,New Brunswick,Perth
8100300,1396,2018-01-18,2018-01-24,7,3.8458211498646278,5.5375,46.71,-67.72,New Brunswick,Perth
8100300,1406,2018-02-18,2018-02-21,4,7.008538461538462,11.126923076923077,46.71,-67.72,New Brunswick,Perth
8100300,1410,2018-02-26,2018-03-12,15,5.985278787878788,8.732000000000001,46.71,-67.72,New Brunswick,Perth
8100300,1416,2018-04-24,2018-04-29,6,4.609,6.696153846153846,46.71,-67.72,New Brunswick,Perth
8100300,1434,2018-07-01,2018-07-06,6,4.983926875593541,7.6769230769230745,46.71,-67.72,New Brunswick,Perth
8100300,1442,2018-07-23,2018-07-27,5,5.124594871794872,6.304166666666667,46.71,-67.72,New Brunswick,Perth
8100300,1446,2018-08-02,2018-08-09,7,4.026303825803827,5.407692307692308,46.71,-67.72,New Brunswick,Perth
8100300,1448,2018-08-13,2018-08-15,3,3.730666666666668,4.600000000000001,46.71,-67.72,New Brunswick,Perth
8100300,1450,2018-08-25,2018-08-29,5,4.033912252964427,5.243478260869566,46.71,-67.72,New Brunswick,Perth
8100300,1452,2018-09-02,2018-09-04,3,3.4962962962962965,4.599999999999998,46.71,-67.72,New Brunswick,Perth
8100300,1456,2018-09-12,2018-09-18,7,4.598922902494331,8.060714285714285,46.71,-67.72,New Brunswick,Perth
8100300,1470,2018-12-21,2018-12-23,3,9.157333333333332,14.224,46.71,-67.72,New Brunswick,Perth
8100300,1476,2019-01-04,2019-01-06,3,5.777333333333334,8.56,46.71,-67.72,New Brunswick,Perth
8100300,1480,2019-01-23,2019-01-25,3,6.028,7.9399999999999995,46.71,-67.72,New Brunswick,Perth
8100300,1482,2019-02-04,2019-02-08,5,7.161507692307692,12.38846153846154,46.71,-67.72,New Brunswick,Perth
8100300,1490,2019-03-14,2019-03-16,3,5.343011638120334,7.495833333333334,46.71,-67.72,New Brunswick,Perth
8100300,1492,2019-03-21,2019-03-24,4,3.0114583333333336,3.25,46.71,-67.72,New Brunswick,Perth
8100300,1516,2019-07-29,2019-08-01,4,3.200231481481482,4.266666666666669,46.71,-67.72,New Brunswick,Perth
8100300,1534,2019-10-29,2019-11-01,4,5.03912037037037,7.507142857142858,46.71,-67.72,New Brunswick,Perth
8100300,1544,2019-12-31,2020-01-05,6,6.52674358974359,8.668000000000001,46.71,-67.72,New Brunswick,Perth
8100300,1550,2020-01-22,2020-01-24,3,6.021611111111111,9.588000000000001,46.71,-67.72,New Brunswick,Perth
8100300,1554,2020-02-02,2020-02-05,4,4.6182307692307685,6.265384615384614,46.71,-67.72,New Brunswick,Perth
8100300,1558,2020-02-10,2020-02-13,4,5.421682692307693,8.103846153846154,46.71,-67.72,New Brunswick,Perth
8100300,1564,2020-02-23,2020-02-27,5,6.395661538461539,9.85,46.71,-67.72,New Brunswick,Perth
8100300,1574,2020-03-24,2020-03-26,3,2.897222222222222,3.6083333333333334,46.71,-67.72,New Brunswick,Perth
8100300,1578,2020-04-03,2020-04-05,3,5.201333333333333,6.436,46.71,-67.72,New Brunswick,Perth
8100300,1584,2020-05-23,2020-05-30,8,7.804326923076923,12.023076923076925,46.71,-67.72,New Brunswick,Perth
8100300,1590,2020-06-16,2020-06-24,9,5.861727920227921,7.904166666666665,46.71,-67.72,New Brunswick,Perth
8100300,1598,2020-07-09,2020-07-13,5,4.059230769230769,5.953846153846154,46.71,-67.72,New Brunswick,Perth
8100300,1606,2020-07-28,2020-07-30,3,3.8172839506172855,4.959259259259259,46.71,-67.72,New Brunswick,Perth
8100300,1608,2020-08-01,2020-08-03,3,3.7651234567901235,4.5703703703703695,46.71,-67.72,New Brunswick,Perth
8100300,1612,2020-08-07,2020-08-13,7,4.021144688644689,6.764000000000003,46.71,-67.72,New Brunswick,Perth
8100300,1618,2020-09-27,2020-10-01,5,6.017891737891738,8.915384615384616,46.71,-67.72,New Brunswick,Perth
8100300,1630,2020-11-05,2020-11-12,8,7.698611111111111,13.555555555555557,46.71,-67.72,New Brunswick,Perth
8100300,1640,2020-11-27,2020-12-09,13,5.637179487179487,14.4,46.71,-67.72,New Brunswick,Perth
8100300,1646,2020-12-20,2020-12-22,3,5.1259487179487175,6.224,46.71,-67.72,New Brunswick,Perth
8100300,1648,2020-12-24,2020-12-27,4,9.599791666666667,16.488,46.71,-67.72,New Brunswick,Perth
8100300,1652,2021-01-04,2021-01-10,7,5.603950310559006,7.673913043478261,46.71,-67.72,New Brunswick,Perth
8100300,1654,2021-01-12,2021-01-18,7,7.7873846153846165,11.104000000000001,46.71,-67.72,New Brunswick,Perth
8100300,1656,2021-01-23,2021-01-29,7,5.828483516483516,10.788461538461538,46.71,-67.72,New Brunswick,Perth
8100300,1658,2021-02-02,2021-02-06,5,8.296984615384615,10.565384615384614,46.71,-67.72,New Brunswick,Perth
8100300,1662,2021-02-23,2021-02-25,3,5.547435897435897,8.276923076923078,46.71,-67.72,New Brunswick,Perth
8100300,1668,2021-03-21,2021-03-26,6,7.947222222222223,9.729166666666666,46.71,-67.72,New Brunswick,Perth
8100300,1672,2021-04-05,2021-04-10,6,7.7826666666666675,11.528,46.71,-67.72,New Brunswick,Perth
8100300,1674,2021-04-12,2021-04-16,5,3.836033333333334,4.976000000000001,46.71,-67.72,New Brunswick,Perth
8100300,1684,2021-05-20,2021-05-22,3,6.026923076923077,7.046153846153846,46.71,-67.72,New Brunswick,Perth
8100300,1688,2021-06-02,2021-06-09,8,6.158788461538461,10.26,46.71,-67.72,New Brunswick,Perth
8100300,1692,2021-06-27,2021-06-30,4,4.952160256410258,6.507999999999999,46.71,-67.72,New Brunswick,Perth
8100300,1698,2021-08-06,2021-08-08,3,3.4482905982905976,3.8538461538461526,46.71,-67.72,New Brunswick,Perth
8100300,1700,2021-08-10,2021-08-14,5,5.072000000000001,6.672000000000001,46.71,-67.72,New Brunswick,Perth
8100300,1702,2021-08-18,2021-08-26,9,5.087410889522001,6.708000000000002,46.71,-67.72,New Brunswick,Perth
8100300,1712,2021-09-21,2021-09-23,3,4.320987654320988,7.15185185185185,46.71,-67.72,New Brunswick,Perth
8100300,1716,2021-10-11,2021-10-18,8,5.946091524216524,8.176923076923078,46.71,-67.72,New Brunswick,Perth
8100300,1728,2021-11-13,2021-11-15,3,4.501234567901235,6.04074074074074,46.71,-67.72,New Brunswick,Perth
8100300,1738,2021-12-11,2021-12-14,4,5.932336182336182,7.818518518518518,46.71,-67.72,New Brunswick,Perth
8100300,1742,2021-12-30,2022-01-02,4,6.006512820512821,8.96,46.71,-67.72,New Brunswick,Perth
8100300,1754,2022-02-07,2022-02-12,6,8.622871794871795,12.103846153846154,46.71,-67.72,New Brunswick,Perth
8100300,1758,2022-02-21,2022-02-23,3,4.784615384615385,6.015384615384616,46.71,-67.72,New Brunswick,Perth
8100300,1770,2022-03-25,2022-03-27,3,3.3430555555555554,5.229166666666666,46.71,-67.72,New Brunswick,Perth
8100300,1782,2022-05-10,2022-05-17,8,5.63,11.96,46.71,-67.72,New Brunswick,Perth
8100300,1788,2022-06-10,2022-06-12,3,2.909333333333333,4.088000000000001,46.71,-67.72,New Brunswick,Perth
8100300,1798,2022-07-22,2022-07-25,4,4.511541666666667,5.104166666666668,46.71,-67.72,New Brunswick,Perth
8100300,1808,2022-08-20,2022-08-22,3,3.394207027540361,4.151851851851852,46.71,-67.72,New Brunswick,Perth
8100300,1810,2022-08-29,2022-08-31,3,5.16780303030303,7.024999999999999,46.71,-67.72,New Brunswick,Perth
8100300,1812,2022-09-09,2022-09-14,6,4.919201940035273,6.170370370370371,46.71,-67.72,New Brunswick,Perth
8100300,1818,2022-10-13,2022-10-19,7,6.039835164835165,9.55,46.71,-67.72,New Brunswick,Perth
8100300,1820,2022-10-22,2022-10-27,6,7.284281305114639,12.353571428571428,46.71,-67.72,New Brunswick,Perth
8100300,1822,2022-10-30,2022-11-02,4,4.010780423280424,5.325925925925926,46.71,-67.72,New Brunswick,Perth
8100300,1824,2022-11-04,2022-11-08,5,9.146666666666667,12.618518518518519,46.71,-67.72,New Brunswick,Perth
8100300,1826,2022-11-10,2022-11-12,3,6.7024691358024695,9.351851851851851,46.71,-67.72,New Brunswick,Perth
8100300,1832,2022-12-06,2022-12-09,4,8.124893162393162,11.43076923076923,46.71,-67.72,New Brunswick,Perth
8100300,1834,2022-12-14,2022-12-21,8,6.321492165242166,8.292307692307693,46.71,-67.72,New Brunswick,Perth
8100300,1838,2022-12-29,2023-01-06,9,8.115495726495727,13.184000000000001,46.71,-67.72,New Brunswick,Perth
8100300,1840,2023-01-18,2023-01-24,4,8.071038461538462,8.996153846153845,46.71,-67.72,New Brunswick,Perth
8100300,1842,2023-01-26,2023-01-29,4,5.1038461538461535,6.934615384615385,46.71,-67.72,New Brunswick,Perth
8100300,1850,2023-02-12,2023-02-17,6,7.143863247863248,14.36,46.71,-67.72,New Brunswick,Perth
8100300,1856,2023-03-06,2023-03-10,5,6.745217391304348,8.88695652173913,46.71,-67.72,New Brunswick,Perth
8100300,1858,2023-03-13,2023-03-18,6,4.781101778656127,7.3875,46.71,-67.72,New Brunswick,Perth
8100300,1864,2023-04-13,2023-04-18,6,3.264027777777778,4.420833333333333,46.71,-67.72,New Brunswick,Perth
8100300,1882,2023-05-31,2023-06-02,3,6.5807692307692305,8.730769230769232,46.71,-67.72,New Brunswick,Perth
8100300,1886,2023-06-23,2023-06-25,3,4.20871794871795,5.312000000000001,46.71,-67.72,New Brunswick,Perth
8100300,1888,2023-06-30,2023-07-02,3,2.555235042735043,2.9115384615384627,46.71,-67.72,New Brunswick,Perth
8100300,1890,2023-07-04,2023-07-08,5,5.174871794871795,6.788888888888891,46.71,-67.72,New Brunswick,Perth
8100300,1894,2023-09-03,2023-09-09,7,5.704945054945055,7.066666666666666,46.71,-67.72,New Brunswick,Perth
8100300,1896,2023-09-12,2023-09-14,3,3.196296296296296,3.7296296296296294,46.71,-67.72,New Brunswick,Perth
8100300,1902,2023-09-22,2023-09-24,3,3.076353276353277,4.184615384615386,46.71,-67.72,New Brunswick,Perth
8100300,1904,2023-10-01,2023-10-09,9,6.096572152127708,9.203846153846154,46.71,-67.72,New Brunswick,Perth
8100300,1910,2023-10-19,2023-10-23,5,4.163518518518519,5.132142857142857,46.71,-67.72,New Brunswick,Perth
8100300,1912,2023-10-25,2023-10-28,4,7.764285714285714,10.810714285714285,46.71,-67.72,New Brunswick,Perth
8100300,1920,2023-12-01,2023-12-03,3,2.8938271604938275,3.4000000000000004,46.71,-67.72,New Brunswick,Perth
8100300,1922,2023-12-10,2023-12-13,4,6.588319088319088,9.977777777777778,46.71,-67.72,New Brunswick,Perth
8100300,1924,2023-12-15,2023-12-20,6,8.903015194681862,14.62962962962963,46.71,-67.72,New Brunswick,Perth
8100300,1926,2023-12-25,2023-12-31,7,7.737452380952381,10.579166666666666,46.71,-67.72,New Brunswick,Perth
8100300,1928,2024-01-02,2024-01-04,3,5.852153846153847,8.323076923076922,46.71,-67.72,New Brunswick,Perth
8100300,1930,2024-01-08,2024-01-17,10,5.173866889632107,9.784,46.71,-67.72,New Brunswick,Perth
8100300,1934,2024-01-24,2024-01-28,5,8.643046153846154,11.288461538461538,46.71,-67.72,New Brunswick,Perth
8100300,1936,2024-01-31,2024-02-12,13,7.00701775147929,13.065384615384614,46.71,-67.72,New Brunswick,Perth
8100300,1940,2024-02-26,2024-02-28,3,10.513388888888889,13.004166666666666,46.71,-67.72,New Brunswick,Perth
8100300,1942,2024-03-02,2024-03-15,5,7.993600131752305,11.804166666666667,46.71,-67.72,New Brunswick,Perth
8100300,1944,2024-03-17,2024-03-20,4,4.353125,5.170833333333334,46.71,-67.72,New Brunswick,Perth
8100300,1946,2024-03-26,2024-03-29,4,2.988541666666667,3.7625,46.71,-67.72,New Brunswick,Perth
8100300,1950,2024-04-10,2024-04-15,6,4.99075,8.176,46.71,-67.72,New Brunswick,Perth
8100300,1958,2024-05-16,2024-05-24,9,5.474792022792023,8.546153846153846,46.71,-67.72,New Brunswick,Perth
8100300,1962,2024-06-04,2024-06-07,4,4.607115384615384,5.4399999999999995,46.71,-67.72,New Brunswick,Perth
8100300,1966,2024-06-18,2024-06-20,3,8.990722222222223,10.704166666666666,46.71,-67.72,New Brunswick,Perth
8100300,1970,2024-07-07,2024-07-10,4,3.229878917378917,4.073076923076922,46.71,-67.72,New Brunswick,Perth
8100300,1972,2024-07-12,2024-07-18,7,3.8980311355311357,5.024000000000001,46.71,-67.72,New Brunswick,Perth
8100300,1974,2024-07-31,2024-08-04,4,4.24227207977208,5.2500000000000036,46.71,-67.72,New Brunswick,Perth
8100300,1984,2024-09-13,2024-09-20,8,5.1099041005291,7.271428571428572,46.71,-67.72,New Brunswick,Perth
8100300,1990,2024-10-19,2024-10-24,6,4.98070987654321,7.766666666666667,46.71,-67.72,New Brunswick,Perth
8100300,1992,2024-10-30,2024-11-01,3,4.472398589065256,8.707142857142857,46.71,-67.72,New Brunswick,Perth
8100300,1998,2024-11-16,2024-11-30,13,4.700135875520491,7.948148148148148,46.71,-67.72,New Brunswick,Perth
8100300,2004,2024-12-17,2024-12-19,3,7.648338081671415,8.829629629629629,46.71,-67.72,New Brunswick,Perth
8100300,2006,2024-12-29,2025-01-03,6,9.217910256410256,13.516666666666667,46.71,-67.72,New Brunswick,Perth
8100300,2008,2025-01-11,2025-01-15,5,3.969600000000001,5.104000000000001,46.71,-67.72,New Brunswick,Perth
8100300,2022,2025-03-05,2025-03-07,3,6.97536231884058,11.047826086956523,46.71,-67.72,New Brunswick,Perth
8100300,2024,2025-03-14,2025-03-20,7,6.763076416337286,11.695833333333333,46.71,-67.72,New Brunswick,Perth
8100300,2028,2025-03-25,2025-03-27,3,2.909722222222222,4.108333333333333,46.71,-67.72,New Brunswick,Perth
8100300,2036,2025-04-28,2025-04-30,3,4.572051282051282,6.104,46.71,-67.72,New Brunswick,Perth
8100300,2044,2025-05-13,2025-05-16,4,6.355,7.843999999999999,46.71,-67.72,New Brunswick,Perth
8100300,2050,2025-06-03,2025-06-07,5,5.296461538461538,8.44,46.71,-67.72,New Brunswick,Perth
8100300,2054,2025-06-17,2025-06-19,3,3.0475427350427347,4.204166666666666,46.71,-67.72,New Brunswick,Perth
8100300,2066,2025-07-11,2025-07-17,7,3.379120879120879,5.024000000000001,46.71,-67.72,New Brunswick,Perth
8100300,2072,2025-08-10,2025-08-14,5,5.052000000000001,7.172000000000001,46.71,-67.72,New Brunswick,Perth
8100300,2080,2025-09-17,2025-09-19,3,4.035714285714286,5.975,46.71,-67.72,New Brunswick,Perth
8100300,2086,2025-10-04,2025-10-08,5,6.5117094017094015,10.003846153846155,46.71,-67.72,New Brunswick,Perth
8100300,2090,2025-10-20,2025-10-23,4,4.891898148148148,6.042857142857143,46.71,-67.72,New Brunswick,Perth
8100300,2104,2025-11-25,2025-11-27,3,2.94,3.012,46.71,-67.72,New Brunswick,Perth
8100300,2106,2025-12-18,2025-12-20,3,6.408594491927825,12.342307692307692,46.71,-67.72,New Brunswick,Perth
8100467,2111,1995-01-14,1995-01-25,12,6.3142692497837105,13.023333333333333,47.8,-64.83,New Brunswick,Bas-Caraquet
8100467,2121,1995-03-14,1995-03-18,5,3.5776559139784943,4.841935483870968,47.8,-64.83,New Brunswick,Bas-Caraquet
8100467,2123,1995-03-20,1995-03-23,4,4.437903225806451,6.380645161290322,47.8,-64.83,New Brunswick,Bas-Caraquet
8100467,2133,1995-06-16,1995-06-19,4,4.919354838709676,7.551612903225806,47.8,-64.83,New Brunswick,Bas-Caraquet
8100467,2135,1995-06-22,1995-06-25,4,4.970967741935485,9.435483870967744,47.8,-64.83,New Brunswick,Bas-Caraquet
8100467,2137,1995-07-05,1995-07-08,4,5.613709677419355,6.580645161290324,47.8,-64.83,New Brunswick,Bas-Caraquet
8100467,2143,1995-07-23,1995-07-26,4,3.4614784946236563,4.329999999999998,47.8,-64.83,New Brunswick,Bas-Caraquet
8100467,2147,1995-08-08,1995-08-12,5,5.657139784946238,7.054838709677419,47.8,-64.83,New Brunswick,Bas-Caraquet
8100467,2163,1995-10-21,1995-10-23,3,3.5849462365591394,4.896774193548386,47.8,-64.83,New Brunswick,Bas-Caraquet
8100467,2177,1995-12-21,1995-12-28,8,4.478225806451613,6.199999999999999,47.8,-64.83,New Brunswick,Bas-Caraquet
8100467,2179,1996-01-17,1996-01-20,4,7.118548387096775,10.770967741935484,47.8,-64.83,New Brunswick,Bas-Caraquet
8100467,2181,1996-01-23,1996-01-25,3,8.430537634408603,9.9,47.8,-64.83,New Brunswick,Bas-Caraquet
8100467,2185,1996-02-08,1996-02-10,3,6.465591397849463,9.69032258064516,47.8,-64.83,New Brunswick,Bas-Caraquet
8100467,2191,1996-02-21,1996-02-27,7,8.017511520737328,9.193548387096774,47.8,-64.83,New Brunswick,Bas-Caraquet
8100467,2195,1996-03-12,1996-03-15,4,3.4991935483870966,4.922580645161291,47.8,-64.83,New Brunswick,Bas-Caraquet
8100467,2197,1996-03-21,1996-03-26,6,4.074193548387097,5.780645161290322,47.8,-64.83,New Brunswick,Bas-Caraquet
8100467,2211,1996-06-01,1996-06-08,8,6.492258064516129,10.764516129032257,47.8,-64.83,New Brunswick,Bas-Caraquet
8100467,2213,1996-06-10,1996-06-16,7,4.876958525345622,7.951612903225806,47.8,-64.83,New Brunswick,Bas-Caraquet
8100467,2219,1996-08-05,1996-08-10,6,5.108064516129033,7.638709677419357,47.8,-64.83,New Brunswick,Bas-Caraquet
8100467,2235,1996-11-08,1996-11-11,4,7.04758064516129,10.351612903225806,47.8,-64.83,New Brunswick,Bas-Caraquet
8100467,2237,1996-11-19,1996-11-22,4,2.542741935483871,3.2870967741935484,47.8,-64.83,New Brunswick,Bas-Caraquet
8100467,2241,1996-12-07,1996-12-11,5,4.418215053763442,6.390000000000001,47.8,-64.83,New Brunswick,Bas-Caraquet
8100467,2243,1996-12-13,1996-12-20,8,5.813306451612903,9.641935483870968,47.8,-64.83,New Brunswick,Bas-Caraquet
8100467,2251,1997-01-09,1997-01-11,3,4.603225806451612,4.958064516129031,47.8,-64.83,New Brunswick,Bas-Caraquet
8100467,2253,1997-01-13,1997-01-16,4,4.047768817204301,7.348387096774195,47.8,-64.83,New Brunswick,Bas-Caraquet
8100467,2259,1997-02-01,1997-02-03,3,4.300000000000001,6.677419354838711,47.8,-64.83,New Brunswick,Bas-Caraquet
8100467,2269,1997-03-27,1997-03-29,3,2.1526881720430104,2.203225806451613,47.8,-64.83,New Brunswick,Bas-Caraquet
8100467,2303,1997-11-02,1997-11-05,4,5.684838709677418,9.206451612903225,47.8,-64.83,New Brunswick,Bas-Caraquet
8100467,2305,1997-12-02,1997-12-08,7,3.559923195084486,4.651612903225807,47.8,-64.83,New Brunswick,Bas-Caraquet
8100467,2313,1998-01-09,1998-01-11,3,3.6365591397849464,5.245161290322581,47.8,-64.83,New Brunswick,Bas-Caraquet
8100467,2315,1998-01-18,1998-01-21,4,6.190322580645161,7.35483870967742,47.8,-64.83,New Brunswick,Bas-Caraquet
8100467,2319,1998-01-30,1998-02-01,3,6.144086021505376,8.125806451612904,47.8,-64.83,New Brunswick,Bas-Caraquet
8100467,2327,1998-02-19,1998-02-23,5,5.267741935483871,6.177419354838709,47.8,-64.83,New Brunswick,Bas-Caraquet
8100467,2329,1998-02-25,1998-03-06,10,6.341290322580645,8.496774193548386,47.8,-64.83,New Brunswick,Bas-Caraquet
8100467,2331,1998-03-08,1998-03-10,3,7.1933333333333325,10.2,47.8,-64.83,New Brunswick,Bas-Caraquet
8100467,2335,1998-03-26,1998-03-30,5,5.891612903225806,7.229032258064516,47.8,-64.83,New Brunswick,Bas-Caraquet
8100467,2341,1998-04-16,1998-04-19,4,3.742741935483871,5.464516129032258,47.8,-64.83,New Brunswick,Bas-Caraquet
8100467,2343,1998-04-29,1998-05-01,3,6.6430107526881725,7.696774193548388,47.8,-64.83,New Brunswick,Bas-Caraquet
8100467,2345,1998-05-04,1998-05-08,5,5.147913978494624,7.1806451612903235,47.8,-64.83,New Brunswick,Bas-Caraquet
8100467,2353,1998-05-27,1998-05-30,4,3.045698924731183,5.32258064516129,47.8,-64.83,New Brunswick,Bas-Caraquet
8100467,2365,1998-07-14,1998-07-16,3,3.7473118279569895,5.20967741935484,47.8,-64.83,New Brunswick,Bas-Caraquet
8100467,2367,1998-07-20,1998-07-22,3,2.4752688172043023,2.916129032258066,47.8,-64.83,New Brunswick,Bas-Caraquet
8100467,2369,1998-08-08,1998-08-10,3,5.73978494623656,6.425806451612903,47.8,-64.83,New Brunswick,Bas-Caraquet
8100467,2377,1998-09-26,1998-09-28,3,2.369892473118279,3.0387096774193534,47.8,-64.83,New Brunswick,Bas-Caraquet
8100467,2403,1999-01-16,1999-01-25,10,6.124144605116797,11.200000000000001,47.8,-64.83,New Brunswick,Bas-Caraquet
8100467,2407,1999-02-03,1999-02-16,14,5.268433179723503,11.22258064516129,47.8,-64.83,New Brunswick,Bas-Caraquet
8100467,2411,1999-02-26,1999-03-05,8,6.2124999999999995,10.154838709677419,47.8,-64.83,New Brunswick,Bas-Caraquet
8100467,2413,1999-03-10,1999-03-13,4,4.110483870967742,5.187096774193549,47.8,-64.83,New Brunswick,Bas-Caraquet
8100467,2415,1999-03-19,1999-03-21,3,2.882795698924731,3.5354838709677416,47.8,-64.83,New Brunswick,Bas-Caraquet
8100467,2417,1999-03-23,1999-03-28,6,6.254301075268817,7.929032258064516,47.8,-64.83,New Brunswick,Bas-Caraquet
8100467,2423,1999-04-08,1999-04-10,3,3.3100482017055985,4.296774193548387,47.8,-64.83,New Brunswick,Bas-Caraquet
8100467,2425,1999-04-16,1999-04-18,3,3.172043010752688,4.041935483870967,47.8,-64.83,New Brunswick,Bas-Caraquet
8100467,2431,1999-05-03,1999-05-10,8,8.275510752688172,10.080645161290322,47.8,-64.83,New Brunswick,Bas-Caraquet
8100467,2433,1999-05-16,1999-05-20,5,9.073473118279571,11.163333333333334,47.8,-64.83,New Brunswick,Bas-Caraquet
8100467,2437,1999-05-30,1999-06-01,3,6.398709677419355,7.693548387096774,47.8,-64.83,New Brunswick,Bas-Caraquet
